ESCO Skill/Knowledge Name;conceptUri;ESCO skillType;Revised Category;Portfolio Scope;;
build recommender systems;http://data.europa.eu/esco/skill/505e4ef3-7ce4-437d-b7b4-5c608f71c258;skill/competence;AI Applications & Domain-Specific;Strict AI;;
computer vision;http://data.europa.eu/esco/skill/7b0d5000-00da-4864-b776-6de49a87a669;knowledge;Computer Vision & Image Recognition;Strict AI;;
develop computer vision system;http://data.europa.eu/esco/skill/4754d9fe-dc3a-4f8f-8ea6-5dbcea3a21ca;skill/competence;Computer Vision & Image Recognition;Strict AI;;
image recognition;http://data.europa.eu/esco/skill/45f1ae17-c20d-40fc-9307-7d33b6ca9213;knowledge;Computer Vision & Image Recognition;Strict AI;;
algorithms;http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38;knowledge;Core AI & Machine Learning;Strict AI;;
artificial neural networks;http://data.europa.eu/esco/skill/5608d5a0-6d5e-43b7-be37-616501729bb4;knowledge;Core AI & Machine Learning;Strict AI;;
cognitive computing;http://data.europa.eu/esco/skill/ca71c597-51c2-4ead-a7b0-b108bce89caf;knowledge;Core AI & Machine Learning;Strict AI;;
deep learning;http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080;knowledge;Core AI & Machine Learning;Strict AI;;
machine learning;http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43;knowledge;Core AI & Machine Learning;Strict AI;;
perform dimensionality reduction;http://data.europa.eu/esco/skill/3e2ab38a-4519-4bef-b762-a8bf4836a775;skill/competence;Core AI & Machine Learning;Strict AI;;
principles of artificial intelligence;http://data.europa.eu/esco/skill/e465a154-93f7-4973-9ce1-31659fe16dd2;knowledge;Core AI & Machine Learning;Strict AI;;
utilise machine learning;http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433;skill/competence;Core AI & Machine Learning;Strict AI;;
computational linguistics;http://data.europa.eu/esco/skill/a056851d-4a8b-4007-b0f6-8224ca1ec1c2;knowledge;Natural Language Processing;Strict AI;;
information extraction;http://data.europa.eu/esco/skill/696e3b5b-8b61-45af-ae4c-3ab700f197ec;knowledge;Natural Language Processing;Strict AI;;
machine translation;http://data.europa.eu/esco/skill/32a2c63d-2d13-4784-abb8-678ef2cd8a46;knowledge;Natural Language Processing;Strict AI;;
natural language processing;http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a;knowledge;Natural Language Processing;Strict AI;;
speech recognition;http://data.europa.eu/esco/skill/2af29864-c941-40a5-ae7b-2b6c4b92c0d7;knowledge;Natural Language Processing;Strict AI;;
predictive maintenance;http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50;knowledge;AI Applications & Domain-Specific;Extended AI;;
analyse large-scale data in healthcare;http://data.europa.eu/esco/skill/3e8e862d-2f1a-40c6-bb6d-d1d7eeb78854;skill/competence;AI Applications & Domain-Specific;Extended AI;;
build predictive models;http://data.europa.eu/esco/skill/38d49d88-9069-467b-b29e-3cae739bdd4d;skill/competence;AI Applications & Predictive Modeling;Extended AI;;
develop predictive models;http://data.europa.eu/esco/skill/e2887d71-8ff4-4188-9926-22bdaefa7713;skill/competence;AI Applications & Predictive Modeling;Extended AI;;
data ethics;http://data.europa.eu/esco/skill/e9575f7f-053a-439e-8074-f93df3334e92;knowledge;AI Governance / Responsible AI;Extended AI;;
biometrics;http://data.europa.eu/esco/skill/3c35dfa4-6dae-45a5-ae0a-f6a45923a95f;knowledge;AI Applications & Predictive Modeling;Extended AI;;
contribute to development of biometric systems;http://data.europa.eu/esco/skill/85a67bc3-708c-4eab-86f6-4529d01d12a6;skill/competence;AI Applications & Predictive Modeling;Extended AI;;
establish data processes;http://data.europa.eu/esco/skill/2daec0e6-f0c1-43e8-8178-aedba99130ec;skill/competence;Data Science & Analytics;Extended AI;;
analyse big data;http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5;skill/competence;Data Science & Analytics;Extended AI;;
data mining;http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180;knowledge;Data Science & Analytics;Extended AI;;
data mining methods;http://data.europa.eu/esco/skill/9effa3d7-c0c4-4583-ad94-b496ba5e5f2c;knowledge;Data Science & Analytics;Extended AI;;
data science;http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01;knowledge;Data Science & Analytics;Extended AI;;
perform data mining;http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278;skill/competence;Data Science & Analytics;Extended AI;;
unstructured data;http://data.europa.eu/esco/skill/c5e8abde-d2ba-4e8e-a65e-720b71180666;knowledge;Data Science & Analytics;Extended AI;;
apply statistical analysis techniques;http://data.europa.eu/esco/skill/382c11ed-20d5-4ae7-b60e-15fec527fa6c;skill/competence;Data Science & Analytics;Extended AI;;
statistical modeling techniques;http://data.europa.eu/esco/skill/68ef0e4d-5542-4e64-84f4-752cce5a3c22;knowledge;Data Science & Analytics;Extended AI;;
human-robot collaboration;http://data.europa.eu/esco/skill/0f5374e3-0b9b-4b16-af7a-49654ce0bb15;knowledge;AI Applications & Domain-Specific;Extended AI;;
robotics;http://data.europa.eu/esco/skill/e87ec79a-c9ff-46f5-84fa-7a0f394cdf40;knowledge;AI Applications & Domain-Specific;Extended AI;;